x,Curve1
1.15222,0.00570691
1.25358,0.00579033
1.35188,0.00531588
1.4471,0.00424065
1.55154,0.0036373
1.6529,0.00350613
1.74812,0.00389013
1.85256,0.0032224
1.95085,0.00433594
2.05222,0.0038185
2.14437,0.00396651
2.25188,0.00374936
2.33788,0.00364001
2.45154,0.00447421
