x,Curve1
1.14932,0.00540948
1.25103,0.00599138
1.35274,0.00463362
1.44521,0.00340517
1.55,0.00338362
1.65171,0.00390086
1.75034,0.00390086
1.85205,0.00394397
1.9476,0.00415948
2.0524,0.00411638
2.15103,0.00381466
2.24966,0.0037069
2.34829,0.00377155
2.44692,0.0031681
